[2023-12-06 22:52:20,918][__main__][INFO] - Found GPU with device_name NVIDIA GeForce RTX 3080. Will run RFdiffusion on NVIDIA GeForce RTX 3080
[2023-12-06 22:52:20,919][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /home/domain/ipermyakov/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2023-12-06 22:52:40,362][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2023-12-06 22:52:42,928][rfdiffusion.diffusion][INFO] - Calculating IGSO3.
[2023-12-06 22:52:47,947][__main__][INFO] - Making design example_outputs/design_unconditional_0
[2023-12-06 22:52:47,951][rfdiffusion.inference.model_runners][INFO] - Using contig: ['100-200']
[2023-12-06 22:52:48,020][rfdiffusion.inference.model_runners][INFO] - Sequence init: ------------------------------------------------------------------------------------------------------------------------------------------------
[2023-12-06 22:53:21,153][rfdiffusion.inference.model_runners][INFO] - Timestep 13, input to next step: ------------------------------------------------------------------------------------------------------------------------------------------------
[2023-12-06 22:53:21,741][rfdiffusion.inference.model_runners][INFO] - Timestep 12, input to next step: ------------------------------------------------------------------------------------------------------------------------------------------------
[2023-12-06 22:53:22,321][rfdiffusion.inference.model_runners][INFO] - Timestep 11, input to next step: ------------------------------------------------------------------------------------------------------------------------------------------------
[2023-12-06 22:53:22,909][rfdiffusion.inference.model_runners][INFO] - Timestep 10, input to next step: ------------------------------------------------------------------------------------------------------------------------------------------------
[2023-12-06 22:53:23,488][rfdiffusion.inference.model_runners][INFO] - Timestep 9, input to next step: ------------------------------------------------------------------------------------------------------------------------------------------------
[2023-12-06 22:53:24,063][rfdiffusion.inference.model_runners][INFO] - Timestep 8, input to next step: ------------------------------------------------------------------------------------------------------------------------------------------------
[2023-12-06 22:53:25,141][rfdiffusion.inference.model_runners][INFO] - Timestep 7, input to next step: ------------------------------------------------------------------------------------------------------------------------------------------------
[2023-12-06 22:53:26,249][rfdiffusion.inference.model_runners][INFO] - Timestep 6, input to next step: ------------------------------------------------------------------------------------------------------------------------------------------------
[2023-12-06 22:53:26,839][rfdiffusion.inference.model_runners][INFO] - Timestep 5, input to next step: ------------------------------------------------------------------------------------------------------------------------------------------------
[2023-12-06 22:53:27,566][rfdiffusion.inference.model_runners][INFO] - Timestep 4, input to next step: ------------------------------------------------------------------------------------------------------------------------------------------------
